order_acknowledged_at,order_ready_at,order_value_gbp,restaurant_id,number_of_items,prep_time_seconds
2015-06-01 12:28:28.952789+01:00,2015-06-01 14:12:09.474896+01:00,59.9,1326,2,6220
2015-06-06 17:06:24.434807+01:00,2015-06-06 17:16:27.520253+01:00,24.0,1326,8,603
2015-06-08 14:56:15.503204+01:00,2015-06-08 15:03:39.397496+01:00,15.25,1326,3,443
2015-06-12 15:12:20.497925+01:00,2015-06-12 15:23:30.064683+01:00,28.05,1326,8,669
2015-06-01 13:07:10.794050+01:00,2015-06-01 14:02:25.104517+01:00,56.3,255,7,3314
2015-06-01 21:01:37.821061+01:00,2015-06-01 21:19:07.464277+01:00,18.2,255,3,1049
2015-06-01 21:04:36.202365+01:00,2015-06-01 21:29:04.983108+01:00,43.2,255,4,1468
2015-06-01 21:47:34.348035+01:00,2015-06-01 22:09:14.793637+01:00,35.8,255,4,1300
2015-06-01 22:11:51.488954+01:00,2015-06-01 22:32:45.567062+01:00,30.0,255,3,1254
2015-06-03 13:17:14.357417+01:00,2015-06-03 14:44:04.209872+01:00,168.2,255,13,5209
2015-06-03 13:30:15.882766+01:00,2015-06-03 14:00:17.636023+01:00,16.0,255,1,1801
2015-06-05 14:04:53.779472+01:00,2015-06-05 14:52:15.979534+01:00,151.1,255,12,2842
2015-06-06 13:16:11.536512+01:00,2015-06-06 14:19:12.368852+01:00,136.8,255,13,3780
2015-06-06 21:50:06.288226+01:00,2015-06-06 22:00:46.981434+01:00,17.4,255,3,640
2015-06-08 20:36:05.383585+01:00,2015-06-08 20:53:57.743391+01:00,20.6,255,3,1072
2015-06-08 21:26:56.848149+01:00,2015-06-08 21:37:41.158249+01:00,25.4,255,3,644
2015-06-08 21:40:03.910137+01:00,2015-06-08 21:52:08.433149+01:00,25.4,255,3,724
2015-06-08 22:52:57.268714+01:00,2015-06-08 23:07:18.029026+01:00,18.2,255,3,860
2015-06-09 15:46:27.429408+01:00,2015-06-09 15:58:33.185650+01:00,20.6,255,3,725
2015-06-09 18:57:47.054681+01:00,2015-06-09 19:12:04.870554+01:00,17.8,255,3,857
2015-06-10 19:01:00.910077+01:00,2015-06-10 19:17:11.073243+01:00,22.3,255,3,970
2015-06-13 21:41:46.512923+01:00,2015-06-13 21:50:39.277643+01:00,20.6,255,3,532
2015-06-13 23:26:38.111774+01:00,2015-06-13 23:52:06.422439+01:00,21.3,255,4,1528
2015-06-15 19:25:50.500125+01:00,2015-06-15 20:29:58.583897+01:00,30.4,255,3,3848
2015-06-15 20:38:08.534948+01:00,2015-06-15 21:02:14.756328+01:00,23.4,255,3,1446
