restaurant_id,country,city,type_of_food
3,UK,London,thai
5,UK,London,italian
7,UK,London,italian
8,UK,London,chinese
9,France,Paris,korean
10,UK,London,lebanese
12,UK,London,korean
13,UK,London,italian
14,UK,London,italian
15,UK,London,thai
16,UK,London,thai
17,UK,London,greek
18,UK,London,japanese
19,UK,London,lebanese
20,UK,London,japanese
21,UK,London,lebanese
22,UK,London,indian
23,UK,London,italian
24,UK,London,italian
25,UK,London,mediterranean
26,UK,London,italian
30,UK,London,italian
31,UK,London,indian
32,UK,London,american
33,UK,London,burgers
34,UK,London,healthy
39,UK,London,burgers
40,UK,London,lebanese
41,UK,London,italian
42,UK,London,vietnamese
43,UK,London,chinese
44,UK,London,lebanese
46,UK,London,chinese
47,UK,London,lebanese
48,UK,London,lebanese
49,UK,London,italian
51,UK,London,italian
53,UK,London,lebanese
55,UK,London,burgers
56,UK,London,italian
57,UK,London,american
58,UK,London,american
59,UK,London,persian
61,UK,London,italian
66,UK,London,chinese
67,UK,London,vietnamese
68,UK,London,lebanese
69,UK,London,lebanese
72,UK,London,burritos
73,UK,London,vietnamese
74,UK,London,italian
76,UK,London,argentinian
77,UK,London,italian
78,UK,London,argentinian
81,UK,London,rotisserie
83,UK,London,spanish tapas
90,UK,London,american
94,UK,London,italian
96,UK,London,italian
97,UK,London,japanese
103,UK,London,mediterranean
104,UK,London,burritos
106,UK,London,dessert
108,UK,London,sichuan chinese
109,UK,London,american
110,UK,London,italian
111,UK,London,dessert
112,UK,London,lebanese moroccan
114,UK,London,greek
115,UK,London,sandwiches
116,UK,London,indian
126,UK,London,italian
127,UK,London,burgers
128,UK,London,juices
129,UK,London,lebanese
133,UK,London,chinese
136,UK,London,lebanese
137,UK,London,japanese
138,UK,London,dessert
142,UK,London,georgian
143,UK,London,burgers
145,UK,London,thai
146,UK,London,pan asian
148,UK,London,pan asian
149,UK,London,persian
150,UK,London,pan asian
153,UK,London,italian
154,UK,London,japanese
156,UK,London,thai
157,UK,London,italian
158,UK,London,south indian
160,UK,London,burritos
161,UK,London,burgers
162,UK,London,chinese
163,UK,London,japanese
164,UK,London,lebanese
165,UK,London,burgers
168,UK,London,burritos
169,UK,London,burgers
170,UK,London,thai
172,UK,London,american
173,UK,London,chinese
177,UK,London,mediterranean
